symbol,name,sector,subsector,status,instrument_type,board,listing_date,special_notation,source_as_of
NTBK,Nusatama Berkah Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Feb 2022,,2026-08-27
SMKM,Sumber Mas Konstruksi Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,09 Mar 2022,,2026-08-27
STAA,Sumber Tani Agung Resources Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,10 Mar 2022,,2026-08-27
NANO,Nanotech Indonesia Global Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,10 Mar 2022,,2026-08-27
BIKE,Bhineka Inovasi Ketahanan Ener,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,21 Mar 2022,,2026-08-27
WIRG,WIR ASIA Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,04 Apr 2022,,2026-08-27
SICO,Sigma Energy Compressindo Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Apr 2022,,2026-08-27
GOTO,GoTo Gojek Tokopedia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,11 Apr 2022,,2026-08-27
TLDN,Teladan Prima Agro Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,12 Apr 2022,,2026-08-27
MTMH,Murni Sadar Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,20 Apr 2022,,2026-08-27
WINR,Winner Nusantara Jaya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,25 Apr 2022,,2026-08-27
IBOS,Indo Boga Sukses Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,25 Apr 2022,,2026-08-27
OLIV,Atlas Nexus Group Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,17 Mei 2022,,2026-08-27
ASHA,Cilacap Samudera Fishing Indus,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,27 Mei 2022,,2026-08-27
SWID,Saraswanti Indoland Developmen,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Jul 2022,,2026-08-27
TRGU,Cerestar Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Jul 2022,,2026-08-27
ARKO,Arkora Hydro Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Jul 2022,,2026-08-27
CHEM,Chemstar Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Jul 2022,,2026-08-27
DEWI,Dewi Shri Farmindo Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,18 Jul 2022,,2026-08-27
AXIO,Tera Data Indonusa Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,20 Jul 2022,,2026-08-27
KRYA,Bangun Karya Perkasa Jaya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,25 Jul 2022,,2026-08-27
HATM,Habco Trans Maritima Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,26 Jul 2022,,2026-08-27
RCCC,Utama Radar Cahaya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,02 Agt 2022,,2026-08-27
GULA,Aman Agrindo Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,03 Agt 2022,,2026-08-27
JARR,Jhonlin Agro Raya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,04 Agt 2022,,2026-08-27
AMMS,Agung Menjangan Mas Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,04 Agt 2022,,2026-08-27
RAFI,Sari Kreasi Boga Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,05 Agt 2022,,2026-08-27
KKES,Kusuma Kemindo Sentosa Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,08 Agt 2022,,2026-08-27
ELPI,Pelayaran Nasional Ekalya Purn,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Agt 2022,,2026-08-27
EURO,Estee Gold Feet Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,08 Agt 2022,,2026-08-27
KLIN,Klinko Karya Imaji Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,09 Agt 2022,,2026-08-27
TOOL,Rohartindo Nusantara Luas Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Agt 2022,,2026-08-27
BUAH,Segar Kumala Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Agt 2022,,2026-08-27
CRAB,Toba Surimi Industries Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Agt 2022,,2026-08-27
MEDS,Hetzer Medical Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Agt 2022,,2026-08-27
COAL,Black Diamond Resources Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Sep 2022,,2026-08-27
PRAY,Famon Awal Bros Sedaya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Nov 2022,,2026-08-27
CBUT,Citra Borneo Utama Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Nov 2022,,2026-08-27
BELI,Global Digital Niaga Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Nov 2022,,2026-08-27
MKTR,Menthobi Karyatama Raya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Nov 2022,,2026-08-27
OMED,Jayamas Medica Industri Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Nov 2022,,2026-08-27
BSBK,Wulandari Bangun Laksana Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Nov 2022,,2026-08-27
PDPP,Primadaya Plastisindo Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Nov 2022,,2026-08-27
KDTN,Puri Sentul Permai Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Nov 2022,,2026-08-27
ZATA,Bersama Zatta Jaya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Nov 2022,,2026-08-27
NINE,Techno9 Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,05 Des 2022,,2026-08-27
MMIX,Multi Medika Internasional Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,06 Des 2022,,2026-08-27
PADA,Personel Alih Daya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Des 2022,,2026-08-27
ISAP,Isra Presisi Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,09 Des 2022,,2026-08-27
VTNY,Venteny Fortuna International,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,15 Des 2022,,2026-08-27
SOUL,Mitra Tirta Buwana Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,06 Jan 2023,,2026-08-27
ELIT,Data Sinergitama Jaya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,06 Jan 2023,,2026-08-27
BEER,Jobubu Jarum Minahasa Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,06 Jan 2023,,2026-08-27
CBPE,Citra Buana Prasida Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,06 Jan 2023,,2026-08-27
SUNI,Sunindo Pratama Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,09 Jan 2023,,2026-08-27
CBRE,Cakra Buana Resources Energi T,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Jan 2023,,2026-08-27
WINE,Hatten Bali Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Jan 2023,,2026-08-27
BMBL,Lavender Bina Cendikia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,11 Jan 2023,,2026-08-27
PEVE,Penta Valent Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,24 Jan 2023,,2026-08-27
LAJU,Jasa Berdikari Logistics Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,27 Jan 2023,,2026-08-27
FWCT,Wijaya Cahaya Timber Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,01 Feb 2023,,2026-08-27
NAYZ,Hassana Boga Sejahtera Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,06 Feb 2023,,2026-08-27
IRSX,Folago Global Nusantara Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Feb 2023,,2026-08-27
PACK,Abadi Nusantara Hijau Investam,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,08 Feb 2023,,2026-08-27
VAST,Vastland Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Feb 2023,,2026-08-27
CHIP,Pelita Teknologi Global Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,08 Feb 2023,,2026-08-27
HALO,Haloni Jane Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Feb 2023,,2026-08-27
KING,Hoffmen Cleanindo Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,16 Feb 2023,,2026-08-27
PGEO,Pertamina Geothermal Energy Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,24 Feb 2023,,2026-08-27
FUTR,Futura Energi Global Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,27 Feb 2023,,2026-08-27
HILL,Hillcon Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,01 Mar 2023,,2026-08-27
BDKR,Berdikari Pondasi Perkasa Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,03 Mar 2023,,2026-08-27
PTMP,Mitra Pack Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,06 Mar 2023,,2026-08-27
SAGE,Saptausaha Gemilangindah Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,08 Mar 2023,,2026-08-27
TRON,Teknologi Karya Digital Nusa T,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Mar 2023,,2026-08-27
CUAN,Petrindo Jaya Kreasi Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Mar 2023,,2026-08-27
NSSS,Nusantara Sawit Sejahtera Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Mar 2023,,2026-08-27
GTRA,Grahaprima Suksesmandiri Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,30 Mar 2023,,2026-08-27
HAJJ,Arsy Buana Travelindo Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,05 Apr 2023,,2026-08-27
PIPA,Oxala Energy International Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Apr 2023,,2026-08-27
NCKL,Trimegah Bangun Persada Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,12 Apr 2023,,2026-08-27
MENN,Menn Teknologi Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,18 Apr 2023,,2026-08-27
AWAN,Era Digital Media Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,18 Apr 2023,,2026-08-27
MBMA,Merdeka Battery Materials Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,18 Apr 2023,,2026-08-27
RAAM,Tripar Multivision Plus Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Mei 2023,,2026-08-27
DOOH,Era Media Sejahtera Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Mei 2023,,2026-08-27
JATI,Informasi Teknologi Indonesia,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Mei 2023,,2026-08-27
TYRE,King Tire Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Mei 2023,,2026-08-27
MPXL,MPX Logistics International Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Mei 2023,,2026-08-27
SMIL,Sarana Mitra Luas Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,12 Mei 2023,,2026-08-27
KLAS,Pelayaran Kurnia Lautan Semest,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,12 Jun 2023,,2026-08-27
MAXI,Maxindo Karya Anugerah Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,12 Jun 2023,,2026-08-27
VKTR,VKTR Teknologi Mobilitas Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,19 Jun 2023,,2026-08-27
RELF,Graha Mitra Asia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,22 Jun 2023,,2026-08-27
AMMN,Amman Mineral Internasional Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,07 Jul 2023,,2026-08-27
CRSN,Carsurin Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Jul 2023,,2026-08-27
GRPM,Graha Prima Mentari Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,10 Jul 2023,,2026-08-27
WIDI,Widiant Jaya Krenindo Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,10 Jul 2023,,2026-08-27
TGUK,Platinum Wahab Nusantara Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,10 Jul 2023,,2026-08-27
INET,Sinergi Inti Andalan Prima Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,24 Jul 2023,,2026-08-27
MAHA,Mandiri Herindo Adiperkasa Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,25 Jul 2023,,2026-08-27
RMKO,Royaltama Mulia Kontraktorindo,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,31 Jul 2023,,2026-08-27
CNMA,Nusantara Sejahtera Raya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,02 Agt 2023,,2026-08-27
FOLK,Multi Garam Utama Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Agt 2023,,2026-08-27
HBAT,Minahasa Membangun Hebat Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,07 Agt 2023,,2026-08-27
GRIA,Ingria Pratama Capitalindo Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Agt 2023,,2026-08-27
PPRI,Paperocks Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Agt 2023,,2026-08-27
ERAL,Sinar Eka Selaras Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Agt 2023,,2026-08-27
CYBR,ITSEC Asia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Agt 2023,,2026-08-27
MUTU,Mutuagung Lestari Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Agt 2023,,2026-08-27
LMAX,Lupromax Pelumas Indonesia Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,09 Agt 2023,,2026-08-27
HUMI,Humpuss Maritim Internasional,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Agt 2023,,2026-08-27
MSIE,Multisarana Intan Eduka Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,10 Agt 2023,,2026-08-27
RSCH,Charlie Hospital Semarang Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,28 Agt 2023,,2026-08-27
BABY,Multitrend Indo Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Sep 2023,,2026-08-27
AEGS,Anugerah Spareparts Sejahtera,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,11 Sep 2023,,2026-08-27
IOTF,Sumber Sinergi Makmur Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,06 Okt 2023,,2026-08-27
KOCI,Kokoh Exa Nusantara Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Okt 2023,,2026-08-27
PTPS,Pulau Subur Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Okt 2023,,2026-08-27
BREN,Barito Renewables Energy Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,09 Okt 2023,,2026-08-27
STRK,Lovina Beach Brewery Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Okt 2023,,2026-08-27
KOKA,Koka Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,11 Okt 2023,,2026-08-27
LOPI,Logisticsplus International Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,11 Okt 2023,,2026-08-27
UDNG,Agro Bahari Nusantara Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,31 Okt 2023,,2026-08-27
RGAS,Kian Santang Muliatama Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Nov 2023,,2026-08-27
MSTI,Mastersystem Infotama Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Nov 2023,,2026-08-27
IKPM,Ikapharmindo Putramas Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Nov 2023,,2026-08-27
AYAM,Janu Putra Sejahtera Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,30 Nov 2023,,2026-08-27
SURI,Maja Agung Latexindo Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Des 2023,,2026-08-27
ASLI,Asri Karya Lestari Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,05 Jan 2024,,2026-08-27
CGAS,Citra Nusantara Gemilang Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Jan 2024,,2026-08-27
NICE,Adhi Kartiko Pratama Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Jan 2024,,2026-08-27
MSJA,Multi Spunindo Jaya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Jan 2024,,2026-08-27
SMLE,Sinergi Multi Lestarindo Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Jan 2024,,2026-08-27
ACRO,Samcro Hyosung Adilestari Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,11 Jan 2024,,2026-08-27
MANG,Manggung Polahraya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,11 Jan 2024,,2026-08-27
GRPH,Griptha Putra Persada Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,17 Jan 2024,,2026-08-27
SMGA,Sumber Mineral Global Abadi Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,30 Jan 2024,,2026-08-27
UNTD,Terang Dunia Internusa Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Feb 2024,,2026-08-27
TOSK,Topindo Solusi Komunika Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Feb 2024,,2026-08-27
MPIX,Mitra Pedagang Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Feb 2024,,2026-08-27
ALII,Ancara Logistics Indonesia Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,07 Feb 2024,,2026-08-27
